id	keyword	context	weight	payload
1	大崎	1	627	大崎 山手線
2	五反田	1	578	五反田 山手線
3	目黒	1	304	目黒 山手線
4	恵比寿	1	868	恵比寿 山手線
5	渋谷	1	20	渋谷 山手線
6	原宿	1	340	原宿 山手線
7	代々木	1	468	代々木 山手線
8	新宿	1	681	新宿 山手線
9	新大久保	1	120	新大久保 山手線
10	高田馬場	1	734	高田馬場 山手線
11	目白	1	239	目白 山手線
12	池袋	1	100	池袋 山手線
13	大塚	1	262	大塚 山手線
14	巣鴨	1	157	巣鴨 山手線
15	駒込	1	881	駒込 山手線
16	田端	1	667	田端 山手線
17	西日暮里	1	826	西日暮里 山手線
18	日暮里	1	93	日暮里 山手線
19	鶯谷	1	439	鶯谷 山手線
20	上野	1	384	上野 山手線
21	御徒町	1	640	御徒町 山手線
22	秋葉原	1	793	秋葉原 山手線
23	神田	1	389	神田 山手線
24	東京	1	915	東京 山手線
25	有楽町	1	676	有楽町 山手線
26	新橋	1	817	新橋 山手線
27	浜松町	1	598	浜松町 山手線
28	田町	1	831	田町 山手線
29	品川	1	735	品川 山手線
30	大宮	2	684	大宮 京浜東北線
31	さいたま新都心	2	198	さいたま新都心 京浜東北線
32	与野	2	932	与野 京浜東北線
33	北浦和	2	814	北浦和 京浜東北線
34	浦和	2	748	浦和 京浜東北線
35	南浦和	2	2	南浦和 京浜東北線
36	蕨	2	346	蕨 京浜東北線
37	西川口	2	86	西川口 京浜東北線
38	川口	2	915	川口 京浜東北線
39	赤羽	2	546	赤羽 京浜東北線
40	東十条	2	877	東十条 京浜東北線
41	王子	2	191	王子 京浜東北線
42	上中里	2	430	上中里 京浜東北線
43	田端	2	567	田端 京浜東北線
44	日暮里	2	573	日暮里 京浜東北線
45	鶯谷	2	146	鶯谷 京浜東北線
46	上野	2	699	上野 京浜東北線
47	御徒町	2	252	御徒町 京浜東北線
48	秋葉原	2	253	秋葉原 京浜東北線
49	神田	2	660	神田 京浜東北線
50	東京	2	864	東京 京浜東北線
51	有楽町	2	175	有楽町 京浜東北線
52	浜松町	2	897	浜松町 京浜東北線
53	田町	2	159	田町 京浜東北線
54	品川	2	408	品川 京浜東北線
55	大井町	2	701	大井町 京浜東北線
56	大森	2	738	大森 京浜東北線
57	蒲田	2	292	蒲田 京浜東北線
58	川崎	2	552	川崎 京浜東北線
59	鶴見	2	813	鶴見 京浜東北線
60	新子安	2	43	新子安 京浜東北線
61	東神奈川	2	664	東神奈川 京浜東北線
62	横浜	2	245	横浜 京浜東北線
63	大崎	3	967	大崎 埼京線
64	恵比寿	3	608	恵比寿 埼京線
65	渋谷	3	310	渋谷 埼京線
66	新宿	3	835	新宿 埼京線
67	池袋	3	866	池袋 埼京線
68	板橋	3	882	板橋 埼京線
69	十条	3	459	十条 埼京線
70	赤羽	3	573	赤羽 埼京線
71	北赤羽	3	668	北赤羽 埼京線
